,timestamp,open,high,low,close,volume,symbol
0,2023-12-27,71.68,72.26,71.29,71.7,1503057,AEE
1,2023-12-26,72.05,72.36,71.64,71.77,1658140,AEE
2,2023-12-22,72.59,73.12,71.94,72.07,2006022,AEE
3,2023-12-21,72.1,72.65,71.135,72.1,2349952,AEE
4,2023-12-20,72.33,72.64,71.79,72.04,3392604,AEE
5,2023-12-19,71.07,72.415,71.01,72.35,2435248,AEE
6,2023-12-18,72.01,72.88,70.645,71.14,4240822,AEE
7,2023-12-15,73.47,74.07,70.81,71.73,7428269,AEE
8,2023-12-14,81.75,82.09,74.57,75.02,7698224,AEE
9,2023-12-13,77.91,81.36,77.52,81.32,2416287,AEE
10,2023-12-12,77.47,78.025,76.83,77.96,1964619,AEE
11,2023-12-11,77.76,78.315,77.57,78.18,2177337,AEE
12,2023-12-08,78.8,79.05,77.78,78.02,1619441,AEE
13,2023-12-07,79.25,79.51,78.4475,78.73,1680500,AEE
14,2023-12-06,78.26,79.14,77.86,79.09,1923459,AEE
15,2023-12-05,78.68,78.68,77.5,77.72,1487958,AEE
16,2023-12-04,78.42,79.32,78.16,78.53,1929361,AEE
17,2023-12-01,77.62,78.98,77.365,78.97,1981151,AEE
18,2023-11-30,77.18,77.67,76.79,77.59,2940509,AEE
19,2023-11-29,78.0,78.71,76.89,76.99,1563919,AEE
20,2023-11-28,77.43,78.6,77.25,77.85,1653282,AEE
21,2023-11-27,77.16,77.73,76.71,77.46,1731374,AEE
22,2023-11-24,76.91,77.36,76.55,77.17,646314,AEE
23,2023-11-22,77.22,77.22,76.34,77.0,1626308,AEE
24,2023-11-21,76.86,77.09,76.01,76.7,1608917,AEE
25,2023-11-20,76.78,77.38,75.77,76.82,1395666,AEE
26,2023-11-17,77.16,77.16,76.33,77.12,1949623,AEE
27,2023-11-16,78.21,78.96,76.63,76.78,3168626,AEE
28,2023-11-15,77.17,78.57,77.05,77.68,1716793,AEE
29,2023-11-14,76.33,77.9,76.29,77.35,1747989,AEE
30,2023-11-13,76.25,76.3309,74.705,74.78,1960457,AEE
31,2023-11-10,76.9,76.99,75.66,76.27,1378071,AEE
32,2023-11-09,78.34,79.5,75.65,76.1,2396056,AEE
33,2023-11-08,77.66,77.66,76.49,77.59,1535353,AEE
34,2023-11-07,78.33,78.33,77.55,78.0,1770472,AEE
35,2023-11-06,78.45,78.72,77.95,78.28,1323995,AEE
36,2023-11-03,79.38,79.47,78.435,78.51,1198555,AEE
37,2023-11-02,76.59,78.89,76.56,78.12,1531626,AEE
38,2023-11-01,75.87,77.43,75.05,76.84,1585124,AEE
39,2023-10-31,75.44,75.9293,74.66,75.71,1550533,AEE
40,2023-10-30,75.63,76.26,74.35,75.04,1793144,AEE
41,2023-10-27,76.63,77.035,75.14,75.38,1582135,AEE
42,2023-10-26,77.05,78.12,76.55,77.05,1594301,AEE
43,2023-10-25,76.03,77.04,75.91,76.85,1752194,AEE
44,2023-10-24,75.96,76.79,75.8,76.36,1905105,AEE
45,2023-10-23,74.86,75.95,73.14,75.08,2867621,AEE
46,2023-10-20,77.82,78.36,76.31,76.33,2380066,AEE
47,2023-10-19,78.12,78.73,77.575,77.65,1641810,AEE
48,2023-10-18,78.41,78.815,77.78,78.49,2760209,AEE
49,2023-10-17,77.82,78.95,77.77,78.4,1777932,AEE
50,2023-10-16,78.1,78.7,77.58,78.32,1992840,AEE
51,2023-10-13,77.63,78.12,77.17,77.95,2443258,AEE
52,2023-10-12,77.05,77.52,76.085,76.72,2026323,AEE
53,2023-10-11,76.67,77.445,75.985,77.39,1817680,AEE
54,2023-10-10,75.08,76.33,74.995,76.17,2082550,AEE
55,2023-10-09,74.0,75.1,73.8,75.06,1567833,AEE
56,2023-10-06,72.31,74.28,71.43,74.0,1594578,AEE
57,2023-10-05,72.7,73.57,72.32,73.25,1728691,AEE
58,2023-10-04,73.08,73.12,71.36,72.83,1517598,AEE
59,2023-10-03,70.65,72.76,69.71,72.57,2197866,AEE
60,2023-10-02,74.55,74.6,70.48,71.13,2623221,AEE
61,2023-09-29,75.1,75.59,74.45,74.83,1826369,AEE
62,2023-09-28,76.62,76.71,74.325,74.44,1945242,AEE
63,2023-09-27,76.75,77.03,75.77,76.11,1668468,AEE
64,2023-09-26,79.46,79.67,76.51,76.85,1680514,AEE
65,2023-09-25,79.52,80.19,78.62,79.55,1128160,AEE
66,2023-09-22,79.73,80.58,79.575,80.21,1934546,AEE
67,2023-09-21,80.46,80.93,79.66,80.12,1166887,AEE
68,2023-09-20,80.71,81.45,80.14,80.44,1016702,AEE
69,2023-09-19,80.76,81.08,80.21,80.22,1219836,AEE
70,2023-09-18,80.8,81.25,80.18,80.68,1310410,AEE
71,2023-09-15,80.82,81.65,80.61,80.77,1577616,AEE
72,2023-09-14,80.35,81.09,80.26,81.04,1094871,AEE
73,2023-09-13,78.93,80.63,78.86,80.1,1420263,AEE
74,2023-09-12,78.79,78.91,78.13,78.74,1559120,AEE
75,2023-09-11,79.24,79.82,79.07,79.27,980272,AEE
76,2023-09-08,78.78,79.56,78.67,79.41,1393634,AEE
77,2023-09-07,78.09,79.23,78.09,78.7,1001951,AEE
78,2023-09-06,77.48,77.71,77.045,77.67,1205966,AEE
79,2023-09-05,78.32,78.37,76.65,77.28,1123573,AEE
80,2023-09-01,79.91,79.91,77.76,78.45,911319,AEE
