,timestamp,open,high,low,close,volume,symbol
0,2023-12-27,80.71,80.87,80.23,80.81,2608191,AEP
1,2023-12-26,80.5,81.07,80.36,80.73,1750601,AEP
2,2023-12-22,80.57,81.42,80.34,80.38,2774997,AEP
3,2023-12-21,80.63,80.8197,79.45,80.04,4092636,AEP
4,2023-12-20,82.05,82.49,80.29,80.32,3402315,AEP
5,2023-12-19,82.07,82.31,81.58,82.13,2350409,AEP
6,2023-12-18,82.24,82.92,81.5,81.73,3329024,AEP
7,2023-12-15,82.51,83.58,81.905,82.23,10926065,AEP
8,2023-12-14,83.92,84.685,83.17,83.33,6941618,AEP
9,2023-12-13,80.2,83.69,79.85,83.57,4082171,AEP
10,2023-12-12,80.6,80.66,79.6,80.0,3096983,AEP
11,2023-12-11,79.82,80.76,79.51,80.49,3711562,AEP
12,2023-12-08,80.12,80.44,79.23,79.64,2708029,AEP
13,2023-12-07,80.5,81.0,79.83,80.2,2819953,AEP
14,2023-12-06,79.96,80.48,79.57,80.36,2927871,AEP
15,2023-12-05,80.21,80.345,79.01,79.31,2914740,AEP
16,2023-12-04,79.96,80.97,79.67,80.13,3449048,AEP
17,2023-12-01,79.83,80.77,79.33,80.51,2785144,AEP
18,2023-11-30,79.27,79.64,78.765,79.55,3756547,AEP
19,2023-11-29,80.06,80.2762,79.015,79.215,2992759,AEP
20,2023-11-28,78.5,80.21,78.18,79.73,3412115,AEP
21,2023-11-27,78.61,78.84,77.74,78.54,2677800,AEP
22,2023-11-24,78.45,78.5,77.8305,78.5,1140200,AEP
23,2023-11-22,78.0,78.28,77.47,78.25,2499741,AEP
24,2023-11-21,77.48,78.17,76.76,78.04,3613233,AEP
25,2023-11-20,77.0,77.46,75.93,77.19,3499798,AEP
26,2023-11-17,77.72,77.91,76.87,77.39,3508003,AEP
27,2023-11-16,77.48,78.085,76.9,77.38,4380172,AEP
28,2023-11-15,77.28,78.445,76.445,76.53,3404684,AEP
29,2023-11-14,76.75,77.99,76.62,77.41,3836921,AEP
30,2023-11-13,77.29,77.59,74.97,75.02,4549946,AEP
31,2023-11-10,77.78,78.12,77.13,77.7,3479233,AEP
32,2023-11-09,77.63,78.37,77.04,77.26,2985532,AEP
33,2023-11-08,78.46,78.62,77.22,78.15,3013560,AEP
34,2023-11-07,79.19,79.715,78.68,78.85,3787081,AEP
35,2023-11-06,79.77,80.13,78.835,79.25,3372622,AEP
36,2023-11-03,80.19,81.08,79.6,79.72,4149772,AEP
37,2023-11-02,76.2,80.2,76.2,79.24,5569281,AEP
38,2023-11-01,75.69,76.96,74.73,76.48,4065810,AEP
39,2023-10-31,75.71,75.845,74.93,75.54,4096082,AEP
40,2023-10-30,75.13,75.975,74.37,75.41,3668417,AEP
41,2023-10-27,75.5,76.0,74.67,74.93,2876339,AEP
42,2023-10-26,75.53,76.62,75.38,75.77,3264236,AEP
43,2023-10-25,74.62,75.62,74.38,75.36,4912652,AEP
44,2023-10-24,73.84,74.95,73.75,74.74,3068952,AEP
